"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
-3 -3 -2 -2 -3 3 3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 3 -3 -3 -3 -3 -3 -2 -3 -3 -3
-3 -3 -2 -3 -3 -2 -3 -3 -3 -3 -3
-3 3 -3 -3 -3 -3 2 -3 -3 -3 -3
-3 3 -2 -3 -3 -3 4 -3 -3 -3 -3
-3 -3 3 -3 -3 -3 -3 3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
5 -3 -3 -3 -3 -3 -3 -3 -3 -3 -2
-3 -3 3 -3 -3 -3 -3 3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -1 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 5 -3 -3
-3 -3 -2 5 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-2 -3 -2 -2 -3 -3 -3 -3 -2 -3 -3
-3 2 -3 -3 -3 -3 -3 -3 -3 -3 -3
4 5 -3 -3 -3 2 -3 -2 -3 -3 -3
-3 -3 -3 -3 -3 -3 6 -3 -3 -3 -3
4 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 3 4 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 3 -3 -2 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-2 -2 -2 -2 -2 -3 -2 -2 -2 -3 -2
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -2 -3 -3 -3 -3 -3 -3
-3 4 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 4 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 5 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 3 -3 -3 2 -3 4
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -1 -2 -2 -2 -3 -2 4 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 4 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
4 -3 -3 -3 2 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -2 -3 -3 -3 -3 -2 -3 -3 -3 -3
-3 -3 -3 -3 -3 -2 -3 -3 -3 -3 -3
-3 -3 -3 3 -3 -3 -3 -3 -3 -3 -3
-3 1 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 4 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
4 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
6 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
2 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
3 -3 -3 -3 4 -3 -3 -3 -3 -3 2
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 3 -3 -3 -3 -3 -3 -3 -3
2 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -2 -3 -3 -3 -3 -3 -3 -3
-2 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 2 -3 -3 -3 -3 -3 -3 5 -3 -3
-3 -3 -3 -3 3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -2 -3 -3 -3 -3 -3
-3 -3 -3 3 -3 -3 -3 -3 -3 -3 -3
-3 -2 -2 -2 -2 3 -2 -2 -2 -3 -2
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
4 -3 -3 -2 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 3 -3 3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
6 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -2 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 3 -3 2 -3 -3 -3 -3 -3
-3 -3 -3 2 -3 -3 -3 -3 1 -3 6
7 -3 -3 3 5 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 4
-3 -3 -3 -3 -3 -3 -3 4 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 3
-3 -3 -3 -3 -3 5 -3 -3 -3 -3 3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
1 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
5 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 4 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 -3 -3 -3 -3 -3 -3 -3
-3 4 -3 -3 -3 -3 -3 -3 -3 -3 -3
