"U_2_PC_alpha2F_01" "U_4_PC_alpha2F_01" "U_6_PC_alpha2F_01" "U_8_PC_alpha2F_01" "U_2_PC_alpha2F_09" "U_4_PC_alpha2F_09" "U_6_PC_alpha2F_09" "U_8_PC_alpha2F_09" "sFMM" "DPM" "FMM"
4 1 1 4 1 1 1 0 1 9 4
1 1 1 9 1 9 9 9 1 9 0.992
0 9.062 0 4 1 4 1 1 16.048 9 4
1 1 0 1 1 0 1 1 1 9 1
1 1 1 1 0 1 4 4.06 1 9 1
0 1 1 1 0 4 4 1 0 9 4
1 0 25.035 4 4 1 1 1 1 9 1
1 16.02 4 0 1 1 1 0 25.039 9 0
0 0 1 1 1 1 1 1 1 9 1
13.433 0 0 1 9 0 4 0 9 9 0
40.24 0 0 0 1 1 1 0 1 9 4
1 0 0 0 1 1 1 0 1 9 0.86
1 9.055 0 9 0.187 1 0.13 0.926 0.534 9 0.908
0.998 4 1 1 4 1 0 1 1 9 0
0 4 0 1 0 0 0 1 0 9 1
0 1 1 25.056 0 1 0 1 1 9 0
0 0 1 4 0 25.039 1 1 4 9 1
1 0.193 4 4 1 1 4 10.015 0.014 9 2.427
0 1 0 0 0 0 4 0 1 9 1
1.063 9 0 1 1 0 1 1 1 9 0
1 0 1 1 0 0 1 1 0 9 0
1 0 1 1 1 16.057 1 0 1 9 0.998
4 4 1 0 4 0 0 1 4 9 4
9.055 1 1 0 1 0 0 1 4 9 0
0 4 0 1 0 1 1 0 1 9 1
0.124 1 1 1 16.065 1 0.982 0.897 0 9 1.418
1 0 3.523 4 1 1 1 1 0 9 0.397
0 1 0 0 0 1 1 0 1 9 1
1 0 4 9.055 4 1 1 1 1 9 4
0 1 1 4.05 0 4 1 1 4 9 1
1 0.382 1 0 4.08 1 1 1 0.564 9 0.776
1 1 1 1 1 1 1 1 0 9 2.304
1.804 0.196 1 1 1 25.116 1 4 9 9 0.726
1 0 0 4.675 0 0 1 0 0 9 0
1.951 1 1 0 1 2.29 0 0 1 9 1.354
0 9.062 0 0 1 1 0 16.048 1 9 0.412
4 0 0 0 4 10.329 2.038 0 1 9 1
1 25.024 0 1 0 0 1 1 1 9 1
4.05 1 0 4 4 1 1 1 1 9 0
2.49 1 0 4 0.141 0.197 0 0 0 9 5.78
1.312 1 1 1 0 0 1 1 1 9 1.027
0 0 1 1 1 9.016 1 1 0 9 4
4 1 4 1 0 4 4 4.06 4 9 4.045
1 9.055 9 1 0 4 1 1 9.055 9 0
4 1 1 1 4.032 0 0 1 1.038 9 0.001
9.055 0 1 1 1 1 0 1 1 9 1
1 4 1 0 1 1 1 1 1 9 4
4 1 1 1 0 1 1 1 1 9 1.056
1 4.095 0.001 1 1 0 1 1 0 9 0
9.054 1 1 0 9 4 1 0 1.024 9 1
1 1 1 1 1 9.055 0 4 4 9 9
16.048 9 0.102 9 0 9.034 0.098 9 1 9 0.001
4 4 4.092 4 0.662 1.383 4 4 0.83 9 0.101
0.828 16.065 4 16.048 0.486 4 16 0.09 0.658 9 0.598
0.174 0 0 0 0 0 0 9.188 0.005 9 0
0 4.045 0 0 0 1 1 0 4 9 4.482
0 0.999 1 2.644 25.056 4 0.999 1 1 9 0
1 1 16.02 0 1 0 1 0 0 9 0.479
4 4 1 0.76 4 4 0.411 9 4 9 9.04
9.04 1 0 0 1 1 1 1 4 9 0.999
9 1 4 1 1 1 0 1 9.055 9 0
0.834 0.424 6.125 25 9.04 2.779 4 25 0 9 8.567
0 1 4 1 0 4 4 0.704 1 9 1.398
9 2.211 4 16 0 0.266 4 1.42 0.002 9 2.743
25.056 9.055 0 0 0 9.054 1 1 0 9 0
4 1 0 4 1.035 1 1 0 0 9 4
9.027 0.206 0 0 1 1 0.067 0 0.143 9 0.226
0 4.1 0.012 1 4 0.034 1 0 1 9 0.678
4 1 4.026 1 4 1 9 1 1 9 16.065
4 0 1 0 0 4.06 1 16.06 1 9 1.75
9 1 1 0 9.027 1 25.024 1 1 9 1
0 0 4 1 2.512 0 1.333 1 4 9 1
4 3.463 4 9 0.942 4 9 3.982 9 9 3.75
0 1 1 16.294 0 0 1 1 1.393 9 1
4 0 0 1 1 0 4.045 0 4 9 1
1 0.001 0 1 0 0.995 0 0 1 9 1
4 4 4 1 1 0 1 1 4.032 9 1
1 1 0 4 1 0 0 4 0 9 4.045
4 1 1 0 4 4 0 1 4 9 1
4 0 1 0 1 0 4 1 1 9 0
0 0.852 0 0 9.328 0 0 9.05 0 9 0.383
0 0.088 0 1 0 0 0.306 0 0 9 0.177
0 0 0 0 0.018 1 0 0 0 9 0
0.999 0 1 1 0.077 1 0.32 16 1 9 1.03
0 9.047 0 9.045 1 9.041 0 4 0 9 0.001
4 16.033 1 0 1 4 1 0 4 9 4
4 1 0 1.035 0.307 0 0 4 0.545 9 1
1 4 4 1 0 1 0 2.281 0 9 3.428
0.357 4 1 1 0 4.06 1 0.319 4 9 1
1 3.424 0 0 1 9.062 1 0 1 9 0
0 1 0 1 1 1 1 4 4 9 4
0.003 1 1 1 6.393 3.071 1 1 0.001 9 0.635
0.927 3.994 4 1 16.048 1 1 1 0.961 9 2.835
0 0 1 0 1 16.033 1 0 0 9 1
1 0 1 16.048 1.024 0 0 25.292 0 9 1
4 1 0 1 0 0 1 4 0 9 1
4 1 0 0 1 0 0 1 1 9 4
0 0 4 0.917 1 1 1 0.589 0.375 9 0.835
9.027 0 1 11.896 0 1 1 1 0 9 1
25.079 0 1 9.055 4 4 0 0 0 9 1
