"U_1_Gam_alpha2F" "U_2_Gam_alpha2F" "U_5_Gam_alpha2F" "U_10_Gam_alpha2F" "U_1_Gam_alpha1F" "U_2_Gam_alpha1F" "U_5_Gam_alpha1F" "U_10_Gam_alpha1F" "U_1_Gam" "U_2_Gam" "U_5_Gam" "U_10_Gam" "Sylvia_Sparse" "FM_RevJump" "MBC" "DPM" "FM_Raffaele" "U_1_PC_alpha2F_01" "U_2_PC_alpha2F_01" "U_5_PC_alpha2F_01" "U_10_PC_alpha2F_01" "U_1_Gam_ProbKp_01" "U_2_Gam_ProbKp_01" "U_5_Gam_ProbKp_01" "U_10_Gam_ProbKp_01" "U_1_PC_alpha2F_09" "U_2_PC_alpha2F_09" "U_5_PC_alpha2F_09" "U_10_PC_alpha2F_09" "U_1_Gam_ProbKp_09" "U_2_Gam_ProbKp_09" "U_5_Gam_ProbKp_09" "U_10_Gam_ProbKp_09"
-3 -3 -3 -3 8 8 6 6 -3 -3 -3 -3 -3 -2 -2 -4 -3 -3 -3 0 -1 -3 -3 -2 4 -3 -3 -3 -3 -3 -3 -3 -3
-2 -2 -2 -1 10 11 10 9 -2 -2 -1 -1 -1 -2 -2 -4 -1 -2 -2 0 5 -2 -2 0 5 -2 -3 -2 -1 -2 -2 0 -1
-4 -3 -3 -3 10 9 9 8 -4 -3 -3 -3 -3 -4 -4 -4 -2 -4 -3 0 5 -4 -3 0 5 -4 -4 -4 -4 -4 -4 -4 -4
-3 -3 -3 -3 8 7 6 7 -3 -3 -3 -3 -3 -3 -3 -4 -3 -3 -3 0 -1 -3 -3 0 4 -3 -3 -3 -3 -3 -3 -3 -3
-4 -4 -3 -3 6 6 6 5 -3 -3 -3 -3 -3 -3 -2 -5 -4 -4 -4 -1 -2 -4 -4 -1 3 -4 -4 -3 -3 -4 -4 -3 -3
-2 -2 -2 -2 6 5 4 3 -2 -2 -2 -2 -2 -2 -2 -4 -2 -2 -2 -2 -2 -2 -2 -2 3 -2 -2 -2 -2 -2 -2 -2 -2
-2 -2 -1 -1 8 10 9 8 -2 -2 -1 0 0 -1 -1 -4 -2 -2 -2 0 3 -2 -2 0 5 -3 -2 0 0 -2 -2 0 -1
-3 -3 -1 -1 9 10 9 8 -2 -1 -1 -1 -1 0 0 -4 -2 -3 -3 0 5 -3 -3 0 5 -3 -3 0 -1 -3 -3 0 -1
-3 -3 -3 -3 9 8 8 7 -3 -3 -3 -3 -3 -2 -2 -4 -2 -3 -3 0 0 -3 -3 0 5 -3 -3 -3 -3 -3 -3 -3 -3
-3 -3 -3 -3 5 4 3 3 -3 -3 -3 -3 -3 -3 -2 -4 -3 -3 -3 -3 -3 -3 -3 -3 2 -3 -3 -3 -3 -3 -3 -3 -3
