"U_1_Gam_alpha2F" "U_2_Gam_alpha2F" "U_5_Gam_alpha2F" "U_10_Gam_alpha2F" "U_1_Gam_alpha1F" "U_2_Gam_alpha1F" "U_5_Gam_alpha1F" "U_10_Gam_alpha1F" "U_1_Gam" "U_2_Gam" "U_5_Gam" "U_10_Gam" "Sylvia_Sparse" "FM_RevJump" "MBC" "DPM" "FM_Raffaele" "U_1_PC_alpha2F_01" "U_2_PC_alpha2F_01" "U_5_PC_alpha2F_01" "U_10_PC_alpha2F_01" "U_1_Gam_ProbKp_01" "U_2_Gam_ProbKp_01" "U_5_Gam_ProbKp_01" "U_10_Gam_ProbKp_01" "U_1_PC_alpha2F_09" "U_2_PC_alpha2F_09" "U_5_PC_alpha2F_09" "U_10_PC_alpha2F_09" "U_1_Gam_ProbKp_09" "U_2_Gam_ProbKp_09" "U_5_Gam_ProbKp_09" "U_10_Gam_ProbKp_09"
-6 -6 -6 -6 -1 -3 -5 -4 -6 -6 -6 -6 -6 NA NA -9 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6
-5 -5 -5 -5 4 1 -1 -2 -5 -5 -5 -5 -5 NA NA -9 -7 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 NA NA -9 -7 -6 -6 -6 -6 -6 -7 -6 -6 -6 -6 -6 -6 -7 -6 -6 -6
-6 -6 -6 -6 -5 -5 -5 -6 -6 -6 -6 -6 -6 NA NA -9 -8 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6
-6 -6 -6 -5 -2 -3 -2 -3 -6 -6 -6 -5 -6 NA NA -10 -8 -6 -6 -6 -5 -6 -6 -6 -5 -6 -6 -6 -6 -6 -6 -6 -5
-6 -6 -6 -6 1 -4 -6 -6 -6 -6 -6 -6 -6 NA NA -9 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6
-7 -6 -5 -5 -6 -6 -6 -6 -5 -5 -5 -5 -5 NA NA -9 -7 -6 -6 -6 -6 -6 -6 -5 -6 -6 -6 -6 -5 -6 -6 -5 -5
-6 -6 -5 -5 -5 -6 -6 -5 -6 -5 -5 -5 -5 NA NA -9 -7 -5 -6 -6 -5 -5 -6 -5 -5 -6 -6 -6 -5 -6 -5 -5 -5
-5 -5 -5 -5 -4 -5 -5 -5 -5 -5 -5 -5 -5 NA NA -9 -6 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
-5 -5 -5 -5 -1 -2 0 -2 -5 -5 -5 -5 -5 NA NA -9 -6 -5 -5 -5 -5 -5 -5 -5 -5 -5 -6 -5 -5 -6 -5 -5 -5
-7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 NA NA -9 -9 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
-6 -6 -6 -6 -3 -4 -3 -4 -6 -6 -6 -6 -6 NA NA -9 -7 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6
-4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 NA NA -9 -5 -4 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
-6 -6 -6 -6 3 1 1 -2 -6 -6 -6 -6 -6 NA NA -9 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6
-6 -6 -6 -6 -4 -3 -3 -5 -6 -6 -6 -6 -6 NA NA -9 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6
-6 -6 -6 -6 -5 -5 -3 -4 -6 -6 -6 -6 -6 NA NA -9 -7 -6 -6 -6 -5 -5 -6 -5 -5 -6 -6 -6 -5 -6 -5 -6 -5
-4 -4 -4 -4 0 2 0 0 -4 -4 -4 -4 -4 NA NA -9 -6 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
-5 -5 -5 -5 -2 -2 -1 -2 -5 -5 -5 -5 -5 NA NA -9 -6 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
-4 -5 -4 -3 -3 -3 -3 -3 -3 -3 -4 -4 -2 NA NA -9 -7 -5 -4 -4 -3 -4 -4 -4 -2 -4 -4 -4 -3 -6 -4 -4 -2
-5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 NA NA -9 -8 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
-7 -7 -7 -7 -6 -6 -5 -6 -7 -7 -7 -7 -7 NA NA -9 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7 -7
-4 -5 -4 -4 3 0 1 3 -4 -4 -4 -4 -4 NA NA -9 -6 -5 -4 -5 -4 -4 -4 -5 -4 -4 -5 -4 -4 -4 -4 -5 -4
-5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 NA NA -9 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
-8 -8 -8 -8 15 10 9 3 -8 -8 -8 -8 -8 NA NA -9 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8 -8
-6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 NA NA -9 -7 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6
-4 -4 -4 -4 -3 -1 -4 -4 -4 -4 -4 -4 -4 NA NA -9 -6 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
-6 -6 -6 -6 -3 -3 -3 -3 -6 -6 -6 -6 -6 NA NA -9 -7 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6
-5 -5 -5 -5 -2 -2 -2 -3 -5 -5 -5 -5 -5 NA NA -9 -6 -5 -5 -4 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
-5 -5 -5 -5 -5 -5 -6 -5 -5 -5 -5 -5 -5 NA NA -9 -6 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -6 -5
